title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,738 ratings",Only 2 left in stock - order soon.
"Attachable Noise-Cancelling Microphone with Mute Switch Compatible with Mac, Windows PC, PlayStation 4, and More (USB A)",,3.2 out of 5 stars,185 ratings,Only 20 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,118 ratings,In Stock
"Sony Playstation Classic Console with 20 Playstation Games Pre-Installed Holiday Bundle, Includes Final Fantasy VII, Grand Theft Auto, Resident Evil Director's Cut and More",,4.1 out of 5 stars,"2,192 ratings",
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"39,571 ratings",In Stock
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,974 ratings,In Stock
$250 PlayStation Store Gift Card [Digital Code],,4.6 out of 5 stars,"262,517 ratings",Available now
Star Wars Jedi: Survivor - PlayStation 4,,4.2 out of 5 stars,15 ratings,In Stock
NBA 2K25 - PlayStation 4,,4.5 out of 5 stars,35 ratings,In Stock
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.2 out of 5 stars,218 ratings,In Stock
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.2 out of 5 stars,516 ratings,In Stock
The Grinch Christmas Adventures - PlayStation 4,,5.0 out of 5 stars,3 ratings,In Stock
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,563 ratings",Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"8,818 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,372 ratings,Not Available
PlayStation 4 Pro 1TB Console,,4.7 out of 5 stars,"12,774 ratings",Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.5 out of 5 stars,"13,610 ratings",Not Available
"Retro Handheld Game Console, Video Game Console with 500 Classic Games, Support for Connecting TV and 2 Players, Birthday Gifts for Boys Girls Kids(Blue)",,5.0 out of 5 stars,5 ratings,In Stock
"Jeecoo G90 Gaming Headset with Microphone for PC PS4 PS5 - Low-Latency 2.4G Wireless & Bluetooth V5.3, Superb Stereo Sound, Lightweight & Comfortable Over-Ears Gaming Headphones (Not for Xbox)",,5.0 out of 5 stars,4 ratings,In Stock
"PS1/PS2 to HDMI Converter, RGBS & YPbPr Signal Output to HDMI for Playstation2 and Playstation1, Screen 4:3/16:9 Switch",,4.3 out of 5 stars,19 ratings,In Stock
